title,genre,description,language,duration,episodes,rating,cast,keywords,source,poster_url,combined_features
sabrina,comedy drama romance,a playboy becomes interested in the daughter of his family s chauffeur but it s his more serious brother who would be the better man for her,english,113.0,1,7.7,humphrey bogart audrey hepburn william holden walter hampden,comedy drama romance,imdb,"https://m.media-amazon.com/images/M/MV5BYmFlNTA1NWItODQxNC00YjFmLWE3ZWYtMzg3YTkwYmMxMjY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",comedy drama romance english 113.0 1 comedy drama romance a playboy becomes interested in the daughter of his family s chauffeur but it s his more serious brother who would be the better man for her humphrey bogart audrey hepburn william holden walter hampden
the quiet man,comedy drama romance,a retired american boxer returns to the village of his birth in ireland where he falls for a spirited redhead whose brother is contemptuous of their union,english,129.0,1,7.7,john wayne maureen o hara barry fitzgerald ward bond,comedy drama romance,imdb,"https://m.media-amazon.com/images/M/MV5BMWM1ZDhlM2MtNDNmMi00MDk4LTg5MjgtODE4ODk1MjYxOTIwXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX67_CR0,0,67,98_AL_.jpg",comedy drama romance english 129.0 1 comedy drama romance a retired american boxer returns to the village of his birth in ireland where he falls for a spirited redhead whose brother is contemptuous of their union john wayne maureen o hara barry fitzgerald ward bond
the day the earth stood still,drama sci fi,an alien lands and tells the people of earth that they must live peacefully or be destroyed as a danger to other planets,english,92.0,1,7.7,michael rennie patricia neal hugh marlowe sam jaffe,drama sci fi,imdb,"https://m.media-amazon.com/images/M/MV5BMTU5NTBmYTAtOTgyYi00NGM0LWE0ODctZjNiYWM5MmIxYzE4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",drama sci fi english 92.0 1 drama sci fi an alien lands and tells the people of earth that they must live peacefully or be destroyed as a danger to other planets michael rennie patricia neal hugh marlowe sam jaffe
the african queen,adventure drama romance,in wwi africa a gin swilling riverboat captain is persuaded by a strait laced missionary to use his boat to attack an enemy warship,english,105.0,1,7.7,humphrey bogart katharine hepburn robert morley peter bull,adventure drama romance,imdb,"https://m.media-amazon.com/images/M/MV5BYzM3YjE2NGMtODY3Zi00NTY0LWE4Y2EtMTE5YzNmM2U1NTg2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX67_CR0,0,67,98_AL_.jpg",adventure drama romance english 105.0 1 adventure drama romance in wwi africa a gin swilling riverboat captain is persuaded by a strait laced missionary to use his boat to attack an enemy warship humphrey bogart katharine hepburn robert morley peter bull
gilda,drama film noir romance,a small time gambler hired to work in a buenos aires casino discovers his employer s new wife is his former lover,english,110.0,1,7.7,rita hayworth glenn ford george macready joseph calleia,drama film noir romance,imdb,"https://m.media-amazon.com/images/M/MV5BYWUxMzViZTUtNTYxNy00YjY4LWJmMjYtMzNlOThjNjhiZmZkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",drama film noir romance english 110.0 1 drama film noir romance a small time gambler hired to work in a buenos aires casino discovers his employer s new wife is his former lover rita hayworth glenn ford george macready joseph calleia
fantasia,animation family fantasy,a collection of animated interpretations of great works of western classical music,english,125.0,1,7.7,samuel armstrong ford beebe jr norman ferguson david hand,animation family fantasy,imdb,"https://m.media-amazon.com/images/M/MV5BMjAxMTI1Njk3OF5BMl5BanBnXkFtZTgwNjkzODk4NTE@._V1_UX67_CR0,0,67,98_AL_.jpg",animation family fantasy english 125.0 1 animation family fantasy a collection of animated interpretations of great works of western classical music samuel armstrong ford beebe jr norman ferguson david hand
the invisible man,horror sci fi,a scientist finds a way of becoming invisible but in doing so he becomes murderously insane,english,71.0,1,7.7,claude rains gloria stuart william harrigan henry travers,horror sci fi,imdb,"https://m.media-amazon.com/images/M/MV5BYjllMmE0Y2YtYWIwZi00OWY1LWJhNWItYzM2MmNiYmFiZmRmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",horror sci fi english 71.0 1 horror sci fi a scientist finds a way of becoming invisible but in doing so he becomes murderously insane claude rains gloria stuart william harrigan henry travers
dark waters,biography drama history,a corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution,english,126.0,1,7.6,mark ruffalo anne hathaway tim robbins bill pullman,biography drama history,imdb,"https://m.media-amazon.com/images/M/MV5BODQ0M2Y5M2QtZGIwMC00MzJjLThlMzYtNmE3ZTMzZTYzOGEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",biography drama history english 126.0 1 biography drama history a corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution mark ruffalo anne hathaway tim robbins bill pullman
searching,drama mystery thriller,after his teenage daughter goes missing a desperate father tries to find clues on her laptop,english,102.0,1,7.6,john cho debra messing joseph lee michelle la,drama mystery thriller,imdb,"https://m.media-amazon.com/images/M/MV5BMjIwOTA3NDI3MF5BMl5BanBnXkFtZTgwNzIzMzA5NTM@._V1_UX67_CR0,0,67,98_AL_.jpg",drama mystery thriller english 102.0 1 drama mystery thriller after his teenage daughter goes missing a desperate father tries to find clues on her laptop john cho debra messing joseph lee michelle la
once upon a time in hollywood,comedy drama,a faded television actor and his stunt double strive to achieve fame and success in the final years of hollywood s golden age in 1969 los angeles,english,161.0,1,7.6,leonardo dicaprio brad pitt margot robbie emile hirsch,comedy drama,imdb,"https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX67_CR0,0,67,98_AL_.jpg",comedy drama english 161.0 1 comedy drama a faded television actor and his stunt double strive to achieve fame and success in the final years of hollywood s golden age in 1969 los angeles leonardo dicaprio brad pitt margot robbie emile hirsch
