title,genre,description,language,duration,episodes,rating,cast,keywords,source,poster_url,combined_features
the shawshank redemption,drama,two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency,english,142.0,1,9.3,tim robbins morgan freeman bob gunton william sadler,drama,imdb,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",drama english 142.0 1 drama two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency tim robbins morgan freeman bob gunton william sadler
the godfather,crime drama,an organized crime dynasty s aging patriarch transfers control of his clandestine empire to his reluctant son,english,175.0,1,9.2,marlon brando al pacino james caan diane keaton,crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",crime drama english 175.0 1 crime drama an organized crime dynasty s aging patriarch transfers control of his clandestine empire to his reluctant son marlon brando al pacino james caan diane keaton
the dark knight,action crime drama,when the menace known as the joker wreaks havoc and chaos on the people of gotham batman must accept one of the greatest psychological and physical tests of his ability to fight injustice,english,152.0,1,9.0,christian bale heath ledger aaron eckhart michael caine,action crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",action crime drama english 152.0 1 action crime drama when the menace known as the joker wreaks havoc and chaos on the people of gotham batman must accept one of the greatest psychological and physical tests of his ability to fight injustice christian bale heath ledger aaron eckhart michael caine
the godfather part ii,crime drama,the early life and career of vito corleone in 1920s new york city is portrayed while his son michael expands and tightens his grip on the family crime syndicate,english,202.0,1,9.0,al pacino robert de niro robert duvall diane keaton,crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",crime drama english 202.0 1 crime drama the early life and career of vito corleone in 1920s new york city is portrayed while his son michael expands and tightens his grip on the family crime syndicate al pacino robert de niro robert duvall diane keaton
12 angry men,crime drama,a jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence,english,96.0,1,9.0,henry fonda lee j cobb martin balsam john fiedler,crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",crime drama english 96.0 1 crime drama a jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence henry fonda lee j cobb martin balsam john fiedler
the lord of the rings the return of the king,action adventure drama,gandalf and aragorn lead the world of men against sauron s army to draw his gaze from frodo and sam as they approach mount doom with the one ring,english,201.0,1,8.9,elijah wood viggo mortensen ian mckellen orlando bloom,action adventure drama,imdb,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure drama english 201.0 1 action adventure drama gandalf and aragorn lead the world of men against sauron s army to draw his gaze from frodo and sam as they approach mount doom with the one ring elijah wood viggo mortensen ian mckellen orlando bloom
pulp fiction,crime drama,the lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption,english,154.0,1,8.9,john travolta uma thurman samuel l jackson bruce willis,crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",crime drama english 154.0 1 crime drama the lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption john travolta uma thurman samuel l jackson bruce willis
schindler s list,biography drama history,in german occupied poland during world war ii industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis,english,195.0,1,8.9,liam neeson ralph fiennes ben kingsley caroline goodall,biography drama history,imdb,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",biography drama history english 195.0 1 biography drama history in german occupied poland during world war ii industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis liam neeson ralph fiennes ben kingsley caroline goodall
inception,action adventure sci fi,a thief who steals corporate secrets through the use of dream sharing technology is given the inverse task of planting an idea into the mind of a c e o,english,148.0,1,8.8,leonardo dicaprio joseph gordon levitt elliot page ken watanabe,action adventure sci fi,imdb,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure sci fi english 148.0 1 action adventure sci fi a thief who steals corporate secrets through the use of dream sharing technology is given the inverse task of planting an idea into the mind of a c e o leonardo dicaprio joseph gordon levitt elliot page ken watanabe
fight club,drama,an insomniac office worker and a devil may care soapmaker form an underground fight club that evolves into something much much more,english,139.0,1,8.8,brad pitt edward norton meat loaf zach grenier,drama,imdb,"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",drama english 139.0 1 drama an insomniac office worker and a devil may care soapmaker form an underground fight club that evolves into something much much more brad pitt edward norton meat loaf zach grenier
the lord of the rings the fellowship of the ring,action adventure drama,a meek hobbit from the shire and eight companions set out on a journey to destroy the powerful one ring and save middle earth from the dark lord sauron,english,178.0,1,8.8,elijah wood ian mckellen orlando bloom sean bean,action adventure drama,imdb,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure drama english 178.0 1 action adventure drama a meek hobbit from the shire and eight companions set out on a journey to destroy the powerful one ring and save middle earth from the dark lord sauron elijah wood ian mckellen orlando bloom sean bean
forrest gump,drama romance,the presidencies of kennedy and johnson the events of vietnam watergate and other historical events unfold through the perspective of an alabama man with an iq of 75 whose only desire is to be reunited with his childhood sweetheart,english,142.0,1,8.8,tom hanks robin wright gary sinise sally field,drama romance,imdb,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg",drama romance english 142.0 1 drama romance the presidencies of kennedy and johnson the events of vietnam watergate and other historical events unfold through the perspective of an alabama man with an iq of 75 whose only desire is to be reunited with his childhood sweetheart tom hanks robin wright gary sinise sally field
il buono il brutto il cattivo,western,a bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery,english,161.0,1,8.8,clint eastwood eli wallach lee van cleef aldo giuffr,western,imdb,"https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",western english 161.0 1 western a bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery clint eastwood eli wallach lee van cleef aldo giuffr
the lord of the rings the two towers,action adventure drama,while frodo and sam edge closer to mordor with the help of the shifty gollum the divided fellowship makes a stand against sauron s new ally saruman and his hordes of isengard,english,179.0,1,8.7,elijah wood ian mckellen viggo mortensen orlando bloom,action adventure drama,imdb,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure drama english 179.0 1 action adventure drama while frodo and sam edge closer to mordor with the help of the shifty gollum the divided fellowship makes a stand against sauron s new ally saruman and his hordes of isengard elijah wood ian mckellen viggo mortensen orlando bloom
the matrix,action sci fi,when a beautiful stranger leads computer hacker neo to a forbidding underworld he discovers the shocking truth the life he knows is the elaborate deception of an evil cyber intelligence,english,136.0,1,8.7,lilly wachowski keanu reeves laurence fishburne carrie anne moss,action sci fi,imdb,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",action sci fi english 136.0 1 action sci fi when a beautiful stranger leads computer hacker neo to a forbidding underworld he discovers the shocking truth the life he knows is the elaborate deception of an evil cyber intelligence lilly wachowski keanu reeves laurence fishburne carrie anne moss
goodfellas,biography crime drama,the story of henry hill and his life in the mob covering his relationship with his wife karen hill and his mob partners jimmy conway and tommy devito in the italian american crime syndicate,english,146.0,1,8.7,robert de niro ray liotta joe pesci lorraine bracco,biography crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",biography crime drama english 146.0 1 biography crime drama the story of henry hill and his life in the mob covering his relationship with his wife karen hill and his mob partners jimmy conway and tommy devito in the italian american crime syndicate robert de niro ray liotta joe pesci lorraine bracco
star wars episode v the empire strikes back,action adventure fantasy,after the rebels are brutally overpowered by the empire on the ice planet hoth luke skywalker begins jedi training with yoda while his friends are pursued by darth vader and a bounty hunter named boba fett all over the galaxy,english,124.0,1,8.7,mark hamill harrison ford carrie fisher billy dee williams,action adventure fantasy,imdb,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure fantasy english 124.0 1 action adventure fantasy after the rebels are brutally overpowered by the empire on the ice planet hoth luke skywalker begins jedi training with yoda while his friends are pursued by darth vader and a bounty hunter named boba fett all over the galaxy mark hamill harrison ford carrie fisher billy dee williams
one flew over the cuckoo s nest,drama,a criminal pleads insanity and is admitted to a mental institution where he rebels against the oppressive nurse and rallies up the scared patients,english,133.0,1,8.7,jack nicholson louise fletcher michael berryman peter brocco,drama,imdb,"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",drama english 133.0 1 drama a criminal pleads insanity and is admitted to a mental institution where he rebels against the oppressive nurse and rallies up the scared patients jack nicholson louise fletcher michael berryman peter brocco
hamilton,biography drama history,the real life of one of america s foremost founding fathers and first secretary of the treasury alexander hamilton captured live on broadway from the richard rodgers theater with the original broadway cast,english,160.0,1,8.6,lin manuel miranda phillipa soo leslie odom jr ren e elise goldsberry,biography drama history,imdb,"https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",biography drama history english 160.0 1 biography drama history the real life of one of america s foremost founding fathers and first secretary of the treasury alexander hamilton captured live on broadway from the richard rodgers theater with the original broadway cast lin manuel miranda phillipa soo leslie odom jr ren e elise goldsberry
gisaengchung,comedy drama thriller,greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy park family and the destitute kim clan,english,132.0,1,8.6,kang ho song lee sun kyun cho yeo jeong choi woo sik,comedy drama thriller,imdb,"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",comedy drama thriller english 132.0 1 comedy drama thriller greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy park family and the destitute kim clan kang ho song lee sun kyun cho yeo jeong choi woo sik
soorarai pottru,drama,nedumaaran rajangam maara sets out to make the common man fly and in the process takes on the world s most capital intensive industry and several enemies who stand in his way,tamil,153.0,1,8.6,suriya madhavan paresh rawal aparna balamurali,drama,imdb,"https://m.media-amazon.com/images/M/MV5BOTc2ZTlmYmItMDBhYS00YmMzLWI4ZjAtMTI5YTBjOTFiMGEwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",drama tamil 153.0 1 drama nedumaaran rajangam maara sets out to make the common man fly and in the process takes on the world s most capital intensive industry and several enemies who stand in his way suriya madhavan paresh rawal aparna balamurali
interstellar,adventure drama sci fi,a team of explorers travel through a wormhole in space in an attempt to ensure humanity s survival,english,169.0,1,8.6,matthew mcconaughey anne hathaway jessica chastain mackenzie foy,adventure drama sci fi,imdb,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",adventure drama sci fi english 169.0 1 adventure drama sci fi a team of explorers travel through a wormhole in space in an attempt to ensure humanity s survival matthew mcconaughey anne hathaway jessica chastain mackenzie foy
cidade de deus,crime drama,in the slums of rio two kids paths diverge as one struggles to become a photographer and the other a kingpin,english,130.0,1,8.6,k tia lund alexandre rodrigues leandro firmino matheus nachtergaele,crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",crime drama english 130.0 1 crime drama in the slums of rio two kids paths diverge as one struggles to become a photographer and the other a kingpin k tia lund alexandre rodrigues leandro firmino matheus nachtergaele
sen to chihiro no kamikakushi,animation adventure family,during her family s move to the suburbs a sullen 10 year old girl wanders into a world ruled by gods witches and spirits and where humans are changed into beasts,english,125.0,1,8.6,daveigh chase suzanne pleshette miyu irino rumi hiiragi,animation adventure family,imdb,"https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",animation adventure family english 125.0 1 animation adventure family during her family s move to the suburbs a sullen 10 year old girl wanders into a world ruled by gods witches and spirits and where humans are changed into beasts daveigh chase suzanne pleshette miyu irino rumi hiiragi
saving private ryan,drama war,following the normandy landings a group of u s soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action,english,169.0,1,8.6,tom hanks matt damon tom sizemore edward burns,drama war,imdb,"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg",drama war english 169.0 1 drama war following the normandy landings a group of u s soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action tom hanks matt damon tom sizemore edward burns
the green mile,crime drama fantasy,the lives of guards on death row are affected by one of their charges a black man accused of child murder and rape yet who has a mysterious gift,english,189.0,1,8.6,tom hanks michael clarke duncan david morse bonnie hunt,crime drama fantasy,imdb,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UX67_CR0,0,67,98_AL_.jpg",crime drama fantasy english 189.0 1 crime drama fantasy the lives of guards on death row are affected by one of their charges a black man accused of child murder and rape yet who has a mysterious gift tom hanks michael clarke duncan david morse bonnie hunt
la vita bella,comedy drama romance,when an open minded jewish librarian and his son become victims of the holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp,english,116.0,1,8.6,roberto benigni nicoletta braschi giorgio cantarini giustino durano,comedy drama romance,imdb,"https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",comedy drama romance english 116.0 1 comedy drama romance when an open minded jewish librarian and his son become victims of the holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp roberto benigni nicoletta braschi giorgio cantarini giustino durano
se7en,crime drama mystery,two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives,english,127.0,1,8.6,morgan freeman brad pitt kevin spacey andrew kevin walker,crime drama mystery,imdb,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",crime drama mystery english 127.0 1 crime drama mystery two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives morgan freeman brad pitt kevin spacey andrew kevin walker
the silence of the lambs,crime drama thriller,a young f b i cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer a madman who skins his victims,english,118.0,1,8.6,jodie foster anthony hopkins lawrence a bonney kasi lemmons,crime drama thriller,imdb,"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",crime drama thriller english 118.0 1 crime drama thriller a young f b i cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer a madman who skins his victims jodie foster anthony hopkins lawrence a bonney kasi lemmons
star wars,action adventure fantasy,luke skywalker joins forces with a jedi knight a cocky pilot a wookiee and two droids to save the galaxy from the empire s world destroying battle station while also attempting to rescue princess leia from the mysterious darth vader,english,121.0,1,8.6,mark hamill harrison ford carrie fisher alec guinness,action adventure fantasy,imdb,"https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure fantasy english 121.0 1 action adventure fantasy luke skywalker joins forces with a jedi knight a cocky pilot a wookiee and two droids to save the galaxy from the empire s world destroying battle station while also attempting to rescue princess leia from the mysterious darth vader mark hamill harrison ford carrie fisher alec guinness
seppuku,action drama mystery,when a ronin requesting seppuku at a feudal lord s palace is told of the brutal suicide of another ronin who previously visited he reveals how their pasts are intertwined and in doing so challenges the clan s integrity,english,133.0,1,8.6,tatsuya nakadai akira ishihama shima iwashita tetsur tanba,action drama mystery,imdb,"https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY98_CR2,0,67,98_AL_.jpg",action drama mystery english 133.0 1 action drama mystery when a ronin requesting seppuku at a feudal lord s palace is told of the brutal suicide of another ronin who previously visited he reveals how their pasts are intertwined and in doing so challenges the clan s integrity tatsuya nakadai akira ishihama shima iwashita tetsur tanba
shichinin no samurai,action adventure drama,a poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves,english,207.0,1,8.6,toshir mifune takashi shimura keiko tsushima yukiko shimazaki,action adventure drama,imdb,"https://m.media-amazon.com/images/M/MV5BOWE4ZDdhNmMtNzE5ZC00NzExLTlhNGMtY2ZhYjYzODEzODA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",action adventure drama english 207.0 1 action adventure drama a poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves toshir mifune takashi shimura keiko tsushima yukiko shimazaki
it s a wonderful life,drama family fantasy,an angel is sent from heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed,english,130.0,1,8.6,james stewart donna reed lionel barrymore thomas mitchell,drama family fantasy,imdb,"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY98_CR0,0,67,98_AL_.jpg",drama family fantasy english 130.0 1 drama family fantasy an angel is sent from heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed james stewart donna reed lionel barrymore thomas mitchell
joker,crime drama thriller,in gotham city mentally troubled comedian arthur fleck is disregarded and mistreated by society he then embarks on a downward spiral of revolution and bloody crime this path brings him face to face with his alter ego the joker,english,122.0,1,8.5,joaquin phoenix robert de niro zazie beetz frances conroy,crime drama thriller,imdb,"https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",crime drama thriller english 122.0 1 crime drama thriller in gotham city mentally troubled comedian arthur fleck is disregarded and mistreated by society he then embarks on a downward spiral of revolution and bloody crime this path brings him face to face with his alter ego the joker joaquin phoenix robert de niro zazie beetz frances conroy
whiplash,drama music,a promising young drummer enrolls at a cut throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student s potential,english,106.0,1,8.5,miles teller j k simmons melissa benoist paul reiser,drama music,imdb,"https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",drama music english 106.0 1 drama music a promising young drummer enrolls at a cut throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student s potential miles teller j k simmons melissa benoist paul reiser
the intouchables,biography comedy drama,after he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver,english,112.0,1,8.5,ric toledano fran ois cluzet omar sy anne le ny,biography comedy drama,imdb,"https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",biography comedy drama english 112.0 1 biography comedy drama after he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver ric toledano fran ois cluzet omar sy anne le ny
the prestige,drama mystery sci fi,after a tragic accident two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other,english,130.0,1,8.5,christian bale hugh jackman scarlett johansson michael caine,drama mystery sci fi,imdb,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UX67_CR0,0,67,98_AL_.jpg",drama mystery sci fi english 130.0 1 drama mystery sci fi after a tragic accident two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other christian bale hugh jackman scarlett johansson michael caine
the departed,crime drama thriller,an undercover cop and a mole in the police attempt to identify each other while infiltrating an irish gang in south boston,english,151.0,1,8.5,leonardo dicaprio matt damon jack nicholson mark wahlberg,crime drama thriller,imdb,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UX67_CR0,0,67,98_AL_.jpg",crime drama thriller english 151.0 1 crime drama thriller an undercover cop and a mole in the police attempt to identify each other while infiltrating an irish gang in south boston leonardo dicaprio matt damon jack nicholson mark wahlberg
the pianist,biography drama music,a polish jewish musician struggles to survive the destruction of the warsaw ghetto of world war ii,english,150.0,1,8.5,adrien brody thomas kretschmann frank finlay emilia fox,biography drama music,imdb,"https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR2,0,67,98_AL_.jpg",biography drama music english 150.0 1 biography drama music a polish jewish musician struggles to survive the destruction of the warsaw ghetto of world war ii adrien brody thomas kretschmann frank finlay emilia fox
gladiator,action adventure drama,a former roman general sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery,english,155.0,1,8.5,russell crowe joaquin phoenix connie nielsen oliver reed,action adventure drama,imdb,"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",action adventure drama english 155.0 1 action adventure drama a former roman general sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery russell crowe joaquin phoenix connie nielsen oliver reed
american history x,drama,a former neo nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did,english,119.0,1,8.5,edward norton edward furlong beverly d angelo jennifer lien,drama,imdb,"https://m.media-amazon.com/images/M/MV5BZjA0MTM4MTQtNzY5MC00NzY3LWI1ZTgtYzcxMjkyMzU4MDZiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg",drama english 119.0 1 drama a former neo nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did edward norton edward furlong beverly d angelo jennifer lien
the usual suspects,crime mystery thriller,a sole survivor tells of the twisty events leading up to a horrific gun battle on a boat which began when five criminals met at a seemingly random police lineup,english,106.0,1,8.5,kevin spacey gabriel byrne chazz palminteri stephen baldwin,crime mystery thriller,imdb,"https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",crime mystery thriller english 106.0 1 crime mystery thriller a sole survivor tells of the twisty events leading up to a horrific gun battle on a boat which began when five criminals met at a seemingly random police lineup kevin spacey gabriel byrne chazz palminteri stephen baldwin
l on,action crime drama,mathilda a 12 year old girl is reluctantly taken in by l on a professional assassin after her family is murdered an unusual relationship forms as she becomes his prot g e and learns the assassin s trade,english,110.0,1,8.5,jean reno gary oldman natalie portman danny aiello,action crime drama,imdb,"https://m.media-amazon.com/images/M/MV5BODllNWE0MmEtYjUwZi00ZjY3LThmNmQtZjZlMjI2YTZjYmQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX67_CR0,0,67,98_AL_.jpg",action crime drama english 110.0 1 action crime drama mathilda a 12 year old girl is reluctantly taken in by l on a professional assassin after her family is murdered an unusual relationship forms as she becomes his prot g e and learns the assassin s trade jean reno gary oldman natalie portman danny aiello
